image_patch,mask_patch,source_image,x,y,patch_width,patch_height
img_1_patch_0001.tif,img_1_patch_0001_mask.tif,img_1.tif,0,0,256,256
img_1_patch_0002.tif,img_1_patch_0002_mask.tif,img_1.tif,64,0,256,256
img_1_patch_0003.tif,img_1_patch_0003_mask.tif,img_1.tif,128,0,256,256
img_1_patch_0004.tif,img_1_patch_0004_mask.tif,img_1.tif,192,0,256,256
img_1_patch_0005.tif,img_1_patch_0005_mask.tif,img_1.tif,256,0,256,256
img_1_patch_0006.tif,img_1_patch_0006_mask.tif,img_1.tif,320,0,256,256
img_1_patch_0007.tif,img_1_patch_0007_mask.tif,img_1.tif,334,0,256,256
img_1_patch_0008.tif,img_1_patch_0008_mask.tif,img_1.tif,0,64,256,256
img_1_patch_0009.tif,img_1_patch_0009_mask.tif,img_1.tif,64,64,256,256
img_1_patch_0010.tif,img_1_patch_0010_mask.tif,img_1.tif,128,64,256,256
img_1_patch_0011.tif,img_1_patch_0011_mask.tif,img_1.tif,192,64,256,256
img_1_patch_0012.tif,img_1_patch_0012_mask.tif,img_1.tif,256,64,256,256
img_1_patch_0013.tif,img_1_patch_0013_mask.tif,img_1.tif,320,64,256,256
img_1_patch_0014.tif,img_1_patch_0014_mask.tif,img_1.tif,334,64,256,256
img_1_patch_0015.tif,img_1_patch_0015_mask.tif,img_1.tif,0,128,256,256
img_1_patch_0016.tif,img_1_patch_0016_mask.tif,img_1.tif,64,128,256,256
img_1_patch_0017.tif,img_1_patch_0017_mask.tif,img_1.tif,128,128,256,256
img_1_patch_0018.tif,img_1_patch_0018_mask.tif,img_1.tif,192,128,256,256
img_1_patch_0019.tif,img_1_patch_0019_mask.tif,img_1.tif,256,128,256,256
img_1_patch_0020.tif,img_1_patch_0020_mask.tif,img_1.tif,320,128,256,256
img_1_patch_0021.tif,img_1_patch_0021_mask.tif,img_1.tif,334,128,256,256
img_1_patch_0022.tif,img_1_patch_0022_mask.tif,img_1.tif,0,192,256,256
img_1_patch_0023.tif,img_1_patch_0023_mask.tif,img_1.tif,64,192,256,256
img_1_patch_0024.tif,img_1_patch_0024_mask.tif,img_1.tif,128,192,256,256
img_1_patch_0025.tif,img_1_patch_0025_mask.tif,img_1.tif,192,192,256,256
img_1_patch_0026.tif,img_1_patch_0026_mask.tif,img_1.tif,256,192,256,256
img_1_patch_0027.tif,img_1_patch_0027_mask.tif,img_1.tif,320,192,256,256
img_1_patch_0028.tif,img_1_patch_0028_mask.tif,img_1.tif,334,192,256,256
img_1_patch_0029.tif,img_1_patch_0029_mask.tif,img_1.tif,0,256,256,256
img_1_patch_0030.tif,img_1_patch_0030_mask.tif,img_1.tif,64,256,256,256
img_1_patch_0031.tif,img_1_patch_0031_mask.tif,img_1.tif,128,256,256,256
img_1_patch_0032.tif,img_1_patch_0032_mask.tif,img_1.tif,192,256,256,256
img_1_patch_0033.tif,img_1_patch_0033_mask.tif,img_1.tif,256,256,256,256
img_1_patch_0034.tif,img_1_patch_0034_mask.tif,img_1.tif,320,256,256,256
img_1_patch_0035.tif,img_1_patch_0035_mask.tif,img_1.tif,334,256,256,256
img_1_patch_0036.tif,img_1_patch_0036_mask.tif,img_1.tif,0,320,256,256
img_1_patch_0037.tif,img_1_patch_0037_mask.tif,img_1.tif,64,320,256,256
img_1_patch_0038.tif,img_1_patch_0038_mask.tif,img_1.tif,128,320,256,256
img_1_patch_0039.tif,img_1_patch_0039_mask.tif,img_1.tif,192,320,256,256
img_1_patch_0040.tif,img_1_patch_0040_mask.tif,img_1.tif,256,320,256,256
img_1_patch_0041.tif,img_1_patch_0041_mask.tif,img_1.tif,320,320,256,256
img_1_patch_0042.tif,img_1_patch_0042_mask.tif,img_1.tif,334,320,256,256
img_1_patch_0043.tif,img_1_patch_0043_mask.tif,img_1.tif,0,365,256,256
img_1_patch_0044.tif,img_1_patch_0044_mask.tif,img_1.tif,64,365,256,256
img_1_patch_0045.tif,img_1_patch_0045_mask.tif,img_1.tif,128,365,256,256
img_1_patch_0046.tif,img_1_patch_0046_mask.tif,img_1.tif,192,365,256,256
img_1_patch_0047.tif,img_1_patch_0047_mask.tif,img_1.tif,256,365,256,256
img_1_patch_0048.tif,img_1_patch_0048_mask.tif,img_1.tif,320,365,256,256
img_1_patch_0049.tif,img_1_patch_0049_mask.tif,img_1.tif,334,365,256,256
img_2_patch_0001.tif,img_2_patch_0001_mask.tif,img_2.tif,0,0,256,256
img_2_patch_0002.tif,img_2_patch_0002_mask.tif,img_2.tif,64,0,256,256
img_2_patch_0003.tif,img_2_patch_0003_mask.tif,img_2.tif,128,0,256,256
img_2_patch_0004.tif,img_2_patch_0004_mask.tif,img_2.tif,192,0,256,256
img_2_patch_0005.tif,img_2_patch_0005_mask.tif,img_2.tif,256,0,256,256
img_2_patch_0006.tif,img_2_patch_0006_mask.tif,img_2.tif,320,0,256,256
img_2_patch_0007.tif,img_2_patch_0007_mask.tif,img_2.tif,334,0,256,256
img_2_patch_0008.tif,img_2_patch_0008_mask.tif,img_2.tif,0,64,256,256
img_2_patch_0009.tif,img_2_patch_0009_mask.tif,img_2.tif,64,64,256,256
img_2_patch_0010.tif,img_2_patch_0010_mask.tif,img_2.tif,128,64,256,256
img_2_patch_0011.tif,img_2_patch_0011_mask.tif,img_2.tif,192,64,256,256
img_2_patch_0012.tif,img_2_patch_0012_mask.tif,img_2.tif,256,64,256,256
img_2_patch_0013.tif,img_2_patch_0013_mask.tif,img_2.tif,320,64,256,256
img_2_patch_0014.tif,img_2_patch_0014_mask.tif,img_2.tif,334,64,256,256
img_2_patch_0015.tif,img_2_patch_0015_mask.tif,img_2.tif,0,128,256,256
img_2_patch_0016.tif,img_2_patch_0016_mask.tif,img_2.tif,64,128,256,256
img_2_patch_0017.tif,img_2_patch_0017_mask.tif,img_2.tif,128,128,256,256
img_2_patch_0018.tif,img_2_patch_0018_mask.tif,img_2.tif,192,128,256,256
img_2_patch_0019.tif,img_2_patch_0019_mask.tif,img_2.tif,256,128,256,256
img_2_patch_0020.tif,img_2_patch_0020_mask.tif,img_2.tif,320,128,256,256
img_2_patch_0021.tif,img_2_patch_0021_mask.tif,img_2.tif,334,128,256,256
img_2_patch_0022.tif,img_2_patch_0022_mask.tif,img_2.tif,0,192,256,256
img_2_patch_0023.tif,img_2_patch_0023_mask.tif,img_2.tif,64,192,256,256
img_2_patch_0024.tif,img_2_patch_0024_mask.tif,img_2.tif,128,192,256,256
img_2_patch_0025.tif,img_2_patch_0025_mask.tif,img_2.tif,192,192,256,256
img_2_patch_0026.tif,img_2_patch_0026_mask.tif,img_2.tif,256,192,256,256
img_2_patch_0027.tif,img_2_patch_0027_mask.tif,img_2.tif,320,192,256,256
img_2_patch_0028.tif,img_2_patch_0028_mask.tif,img_2.tif,334,192,256,256
img_2_patch_0029.tif,img_2_patch_0029_mask.tif,img_2.tif,0,256,256,256
img_2_patch_0030.tif,img_2_patch_0030_mask.tif,img_2.tif,64,256,256,256
img_2_patch_0031.tif,img_2_patch_0031_mask.tif,img_2.tif,128,256,256,256
img_2_patch_0032.tif,img_2_patch_0032_mask.tif,img_2.tif,192,256,256,256
img_2_patch_0033.tif,img_2_patch_0033_mask.tif,img_2.tif,256,256,256,256
img_2_patch_0034.tif,img_2_patch_0034_mask.tif,img_2.tif,320,256,256,256
img_2_patch_0035.tif,img_2_patch_0035_mask.tif,img_2.tif,334,256,256,256
img_2_patch_0036.tif,img_2_patch_0036_mask.tif,img_2.tif,0,320,256,256
img_2_patch_0037.tif,img_2_patch_0037_mask.tif,img_2.tif,64,320,256,256
img_2_patch_0038.tif,img_2_patch_0038_mask.tif,img_2.tif,128,320,256,256
img_2_patch_0039.tif,img_2_patch_0039_mask.tif,img_2.tif,192,320,256,256
img_2_patch_0040.tif,img_2_patch_0040_mask.tif,img_2.tif,256,320,256,256
img_2_patch_0041.tif,img_2_patch_0041_mask.tif,img_2.tif,320,320,256,256
img_2_patch_0042.tif,img_2_patch_0042_mask.tif,img_2.tif,334,320,256,256
img_2_patch_0043.tif,img_2_patch_0043_mask.tif,img_2.tif,0,365,256,256
img_2_patch_0044.tif,img_2_patch_0044_mask.tif,img_2.tif,64,365,256,256
img_2_patch_0045.tif,img_2_patch_0045_mask.tif,img_2.tif,128,365,256,256
img_2_patch_0046.tif,img_2_patch_0046_mask.tif,img_2.tif,192,365,256,256
img_2_patch_0047.tif,img_2_patch_0047_mask.tif,img_2.tif,256,365,256,256
img_2_patch_0048.tif,img_2_patch_0048_mask.tif,img_2.tif,320,365,256,256
img_2_patch_0049.tif,img_2_patch_0049_mask.tif,img_2.tif,334,365,256,256
img_3_patch_0001.tif,img_3_patch_0001_mask.tif,img_3.tif,0,0,256,256
img_3_patch_0002.tif,img_3_patch_0002_mask.tif,img_3.tif,64,0,256,256
img_3_patch_0003.tif,img_3_patch_0003_mask.tif,img_3.tif,128,0,256,256
img_3_patch_0004.tif,img_3_patch_0004_mask.tif,img_3.tif,192,0,256,256
img_3_patch_0005.tif,img_3_patch_0005_mask.tif,img_3.tif,256,0,256,256
img_3_patch_0006.tif,img_3_patch_0006_mask.tif,img_3.tif,320,0,256,256
img_3_patch_0007.tif,img_3_patch_0007_mask.tif,img_3.tif,334,0,256,256
img_3_patch_0008.tif,img_3_patch_0008_mask.tif,img_3.tif,0,64,256,256
img_3_patch_0009.tif,img_3_patch_0009_mask.tif,img_3.tif,64,64,256,256
