split,patch_name,width,height,object_ratio,background_ratio,num_objects,level,keep_ratio,augment_times
Train,img_1_patch_0001_mask.tif,256,256,0.279633,0.720367,3,normal,1.0,1
Train,img_1_patch_0002_mask.tif,256,256,0.40538,0.59462,3,dense,1.0,1
Train,img_1_patch_0003_mask.tif,256,256,0.459961,0.540039,7,dense,1.0,1
Train,img_1_patch_0004_mask.tif,256,256,0.491562,0.508438,8,dense,1.0,1
Train,img_1_patch_0005_mask.tif,256,256,0.416138,0.583862,8,dense,1.0,1
Train,img_1_patch_0006_mask.tif,256,256,0.29039,0.70961,8,normal,1.0,1
Train,img_1_patch_0007_mask.tif,256,256,0.261063,0.738937,8,normal,1.0,1
Train,img_1_patch_0008_mask.tif,256,256,0.332397,0.667603,6,normal,1.0,1
Train,img_1_patch_0009_mask.tif,256,256,0.483475,0.516525,6,dense,1.0,1
Train,img_1_patch_0010_mask.tif,256,256,0.546432,0.453568,11,dense,1.0,1
Train,img_1_patch_0011_mask.tif,256,256,0.594254,0.405746,10,dense,1.0,1
Train,img_1_patch_0012_mask.tif,256,256,0.495224,0.504776,9,dense,1.0,1
Train,img_1_patch_0013_mask.tif,256,256,0.344147,0.655853,10,normal,1.0,1
Train,img_1_patch_0014_mask.tif,256,256,0.312592,0.687408,8,normal,1.0,1
Train,img_1_patch_0015_mask.tif,256,256,0.265549,0.734451,5,normal,1.0,1
Train,img_1_patch_0016_mask.tif,256,256,0.420288,0.579712,5,dense,1.0,1
Train,img_1_patch_0017_mask.tif,256,256,0.505188,0.494812,13,dense,1.0,1
Train,img_1_patch_0018_mask.tif,256,256,0.584564,0.415436,11,dense,1.0,1
Train,img_1_patch_0019_mask.tif,256,256,0.534256,0.465744,9,dense,1.0,1
Train,img_1_patch_0020_mask.tif,256,256,0.379517,0.620483,12,normal,1.0,1
Train,img_1_patch_0021_mask.tif,256,256,0.344757,0.655243,9,normal,1.0,1
Train,img_1_patch_0022_mask.tif,256,256,0.272293,0.727707,7,normal,1.0,1
Train,img_1_patch_0023_mask.tif,256,256,0.424408,0.575592,6,dense,1.0,1
Train,img_1_patch_0024_mask.tif,256,256,0.488358,0.511642,12,dense,1.0,1
