split,patch_name,width,height,total_pixels,object_pixels,background_pixels,object_ratio,background_ratio,num_objects
Train,img_1_patch_0001_mask.tif,256,256,65536,18326,47210,0.279633,0.720367,3
Train,img_1_patch_0002_mask.tif,256,256,65536,26567,38969,0.405380,0.594620,3
Train,img_1_patch_0003_mask.tif,256,256,65536,30144,35392,0.459961,0.540039,7
Train,img_1_patch_0004_mask.tif,256,256,65536,32215,33321,0.491562,0.508438,8
Train,img_1_patch_0005_mask.tif,256,256,65536,27272,38264,0.416138,0.583862,8
Train,img_1_patch_0006_mask.tif,256,256,65536,19031,46505,0.290390,0.709610,8
Train,img_1_patch_0007_mask.tif,256,256,65536,17109,48427,0.261063,0.738937,8
Train,img_1_patch_0008_mask.tif,256,256,65536,21784,43752,0.332397,0.667603,6
Train,img_1_patch_0009_mask.tif,256,256,65536,31685,33851,0.483475,0.516525,6
Train,img_1_patch_0010_mask.tif,256,256,65536,35811,29725,0.546432,0.453568,11
Train,img_1_patch_0011_mask.tif,256,256,65536,38945,26591,0.594254,0.405746,10
Train,img_1_patch_0012_mask.tif,256,256,65536,32455,33081,0.495224,0.504776,9
Train,img_1_patch_0013_mask.tif,256,256,65536,22554,42982,0.344147,0.655853,10
Train,img_1_patch_0014_mask.tif,256,256,65536,20486,45050,0.312592,0.687408,8
Train,img_1_patch_0015_mask.tif,256,256,65536,17403,48133,0.265549,0.734451,5
Train,img_1_patch_0016_mask.tif,256,256,65536,27544,37992,0.420288,0.579712,5
Train,img_1_patch_0017_mask.tif,256,256,65536,33108,32428,0.505188,0.494812,13
Train,img_1_patch_0018_mask.tif,256,256,65536,38310,27226,0.584564,0.415436,11
Train,img_1_patch_0019_mask.tif,256,256,65536,35013,30523,0.534256,0.465744,9
Train,img_1_patch_0020_mask.tif,256,256,65536,24872,40664,0.379517,0.620483,12
Train,img_1_patch_0021_mask.tif,256,256,65536,22594,42942,0.344757,0.655243,9
